audio_id,dataset,category,clova_cer,azure_cer,whisper_cer,google_cer,assemblyai_cer
speech_S000012_000166,KconfSpeech,meeting,8.82,11.76,11.76,14.71,12.75
speech_S000018_000377,KconfSpeech,meeting,8.82,13.24,11.76,17.65,7.35
speech_S000023_000440,KconfSpeech,meeting,7.37,7.37,9.47,4.21,7.37
speech_S000027_000154,KconfSpeech,meeting,1.56,9.38,12.5,15.62,18.75
speech_S000023_000528,KconfSpeech,meeting,6.45,8.06,6.45,3.23,6.45
speech_S000018_000229,KconfSpeech,meeting,6.25,6.25,4.17,6.25,6.25
speech_S000019_000236,KconfSpeech,meeting,0.0,0.0,21.74,0.0,21.74
speech_S000017_000485,KconfSpeech,meeting,2.17,2.17,2.17,8.7,2.17
speech_S000027_000026,KconfSpeech,meeting,1.59,6.35,1.59,6.35,1.59
speech_S000027_000506,KconfSpeech,meeting,10.91,7.27,12.73,9.09,12.73
speech_S000018_000329,KconfSpeech,meeting,6.25,10.94,7.81,6.25,7.81
speech_S000012_000193,KconfSpeech,meeting,6.9,5.17,12.07,8.62,12.07
speech_S000018_000193,KconfSpeech,meeting,3.51,1.75,0.0,1.75,1.75
speech_S000023_000821,KconfSpeech,meeting,11.76,5.88,26.47,5.88,26.47
speech_S000023_000603,KconfSpeech,meeting,3.75,10.0,6.25,13.75,6.25
speech_S000019_000248,KconfSpeech,meeting,15.71,14.29,8.57,12.86,8.57
speech_S000023_000230,KconfSpeech,meeting,4.6,3.45,6.9,4.6,8.05
speech_S000017_000219,KconfSpeech,meeting,8.99,5.62,12.36,10.11,16.85
speech_S000023_000356,KconfSpeech,meeting,4.05,5.41,8.11,9.46,6.76
speech_S000023_000306,KconfSpeech,meeting,3.51,1.75,1.75,1.75,8.77
AVERAGE,,,6.15,6.81,9.23,8.04,10.03
